fy,code,prabhag,prabhag_sub,ward_col,amount_rs,provision_rs,work_name
2017-18,CE20E101/SF1-124,11,ब,,1000000.0,1000000.0,"प्रभाग क्र.11 ब, जयभवानीनगर येथे मुख्य रस्ता पावसाळी गटार लाईन टाकणे"
2017-18,CE20E101/SF1-125,11,ब,,1000000.0,1000000.0,"प्रभाग क्र.11 ब, मध्ये पावसाळी गटार लाईन दुरूस्तीविषयक कामे करणे."
2017-18,CE20E101/SF1-126,11,ड,,1000000.0,1000000.0,"प्रभाग क्र.11 ड, मधील विविध ठिकाणच्या पावसाळी लाईन साफ करणे तसेच डोंगरभागातील वाहून आलेला राडारोडा उचलणे."
2017-18,CE20E101/SF1-127,12,अ,,1000000.0,1000000.0,"प्रभाग क्र12 अ, मध्ये विविध ठिकाणच्या पावसाळी गटारांची साफसफाई करणे."
2017-18,CE20E101/SF1-128,12,ब,,500000.0,500000.0,प्रभाग क्र12 ब मध्ये विविध ठिकाणची पावसाळी लाईन साफसफाई करणे.
2017-18,CE20E101/SF1-129,12,क,,4000000.0,4000000.0,प्रभाग क्रं.12 क मध्ये विविध ठिकाणी पावसाळी पाण्याची लाईन टाकणे
2017-18,CE20E101/SF1-130,12,क,,3000000.0,3000000.0,प्रभाग क्रं.12 क मध्ये लक्ष्मीनगर येथे पावसाळी लाईन टाकणे.
2017-18,CE20E101/SF1-131,12,क,,3000000.0,3000000.0,प्रभाग क्रं.12 क मध्ये गुजरात कॉलनी शास्त्रीनगर भागात पावसाळी पाण्याची लाईन टाकणे
2017-18,CE20E101/SF1-132,13,अ,,1000000.0,1000000.0,प्रभाग क्र.१३अ मध्ये विविध ठिकाणी पावसाळी लाईन पावसाळ्यापूर्वी जेटिंग मशीनच्या सहाय्याने स्वच्छ करणे व तदनुषंगिक कामे करणे.
2017-18,CE20E101/SF1-133,13,ड,,2000000.0,2000000.0,"प्रभाग क्र.13ड, विविध ठिकाणी पावसाळी गटारे बांधणे."
2017-18,CE20E101/SF1-134,13,ड,,500000.0,500000.0,"प्रभाग क्र.13ड, हॅपी कॉलनी लेन नं.1 ते 4 पावसाळी गटारे बांधणे"
2017-18,CE20E101/SF1-135,14,क,,1000000.0,1000000.0,"प्रभाग क्र.14क, मधील हनुमान टेकडी तसेच इतर टेकडी परिसराच्या जागी पावसाळी पाणी वाया जाऊ नये म्हणून रेन वॉटर हार्वेस्टींग प्रकल्प राबविणे."
2017-18,CE20E101/SF1-136,14,ड,,1000000.0,1000000.0,"प्रभाग क्र.14ड, मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे"
2017-18,CE20E101/SF1-137,14,ड,,1000000.0,1000000.0,"प्रभाग क्र.14ड, मध्ये दीप बंगला चौक ते थोरात चौक पावसाळी लाईन टाकणे"
2017-18,CE20E101/SF1-138,14,ड,,1000000.0,1000000.0,"प्रभाग क्र.14ड, मधील आपटे रोड परिसरामध्ये पावसाळी लाईन टाकणे."
