zone_no,zone_name,zone_code,fiscal_year,measure,amount_rs_thousand,amount_rs_lakh,line_present_in_book,source_book,source_page,source_url
IX,Teynampet,NJ,2014-2015,BE,30000,300.00,yes,bb2014-15.pdf,55,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
X,Kodambakkam,NK,2014-2015,BE,30000,300.00,yes,bb2014-15.pdf,56,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
XI,Valasaravakkam,NL,2014-2015,BE,50000,500.00,yes,bb2014-15.pdf,57,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
XII,Alandur,NM,2014-2015,BE,100000,1000.00,yes,bb2014-15.pdf,58,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
XIII,Adyar,NN,2014-2015,BE,20000,200.00,yes,bb2014-15.pdf,59,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
XIV,Perungudi,NP,2014-2015,BE,50000,500.00,yes,bb2014-15.pdf,60,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
XV,Sholinganallur,NQ,2014-2015,BE,50000,500.00,yes,bb2014-15.pdf,61,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
I,Thiruvottiyur,NA,2013-2014,ACTUAL,41172,411.72,yes,bb2015-16.pdf,47,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
II,Manali,NB,2013-2014,ACTUAL,41345,413.45,yes,bb2015-16.pdf,48,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
III,Madhavaram,NC,2013-2014,ACTUAL,14734,147.34,yes,bb2015-16.pdf,49,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
IV,Tondiarpet,ND,2013-2014,ACTUAL,20158,201.58,yes,bb2015-16.pdf,50,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
V,Royapuram,NE,2013-2014,ACTUAL,31236,312.36,yes,bb2015-16.pdf,51,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
VI,Thiru-Vi-Ka Nagar,NF,2013-2014,ACTUAL,17810,178.10,yes,bb2015-16.pdf,52,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
VII,Ambattur,NG,2013-2014,ACTUAL,6041,60.41,yes,bb2015-16.pdf,53,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
VIII,Anna Nagar,NH,2013-2014,ACTUAL,45615,456.15,yes,bb2015-16.pdf,54,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
IX,Teynampet,NJ,2013-2014,ACTUAL,17214,172.14,yes,bb2015-16.pdf,55,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
X,Kodambakkam,NK,2013-2014,ACTUAL,73620,736.20,yes,bb2015-16.pdf,56,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
XI,Valasaravakkam,NL,2013-2014,ACTUAL,79828,798.28,yes,bb2015-16.pdf,57,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
XII,Alandur,NM,2013-2014,ACTUAL,56756,567.56,yes,bb2015-16.pdf,58,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
XIII,Adyar,NN,2013-2014,ACTUAL,11144,111.44,yes,bb2015-16.pdf,59,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
XIV,Perungudi,NP,2013-2014,ACTUAL,79775,797.75,yes,bb2015-16.pdf,60,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
XV,Sholinganallur,NQ,2013-2014,ACTUAL,30276,302.76,yes,bb2015-16.pdf,61,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
I,Thiruvottiyur,NA,2014-2015,RE,8000,80.00,yes,bb2015-16.pdf,47,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
II,Manali,NB,2014-2015,RE,50000,500.00,yes,bb2015-16.pdf,48,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
III,Madhavaram,NC,2014-2015,RE,17000,170.00,yes,bb2015-16.pdf,49,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
IV,Tondiarpet,ND,2014-2015,RE,50000,500.00,yes,bb2015-16.pdf,50,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
V,Royapuram,NE,2014-2015,RE,50000,500.00,yes,bb2015-16.pdf,51,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
VI,Thiru-Vi-Ka Nagar,NF,2014-2015,RE,25000,250.00,yes,bb2015-16.pdf,52,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
VII,Ambattur,NG,2014-2015,RE,10000,100.00,yes,bb2015-16.pdf,53,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
VIII,Anna Nagar,NH,2014-2015,RE,60000,600.00,yes,bb2015-16.pdf,54,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
IX,Teynampet,NJ,2014-2015,RE,60000,600.00,yes,bb2015-16.pdf,55,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
