edition,division_file,zone,dept_code,function_code,dp_code,account_head,v1,v2,v3,v4
2023-24,2023-24_S.txt,Zone-XI VALASARAVAKKAM,NL,20-21-07,230-54-03-00,Storm Water Drains-Desilting,11965,15000,56400,44000
2023-24,2023-24_S.txt,Zone-XII ALANDUR,NM,20-21-07,230-54-01-00,Storm Water Drains,1102,2000,2000,5000
2023-24,2023-24_S.txt,Zone-XII ALANDUR,NM,20-21-07,230-54-03-00,Storm Water Drains-Desilting,4706,7000,18300,33000
2023-24,2023-24_S.txt,Zone-XIII ADYAR,NN,20-21-07,230-54-01-00,Storm Water Drains,6144,10000,10000,10000
2023-24,2023-24_S.txt,Zone-XIII ADYAR,NN,20-21-07,230-54-03-00,Storm Water Drains-Desilting,8946,10000,70400,33000
2023-24,2023-24_S.txt,Zone-XIII ADYAR,NN,20-21-07,230-70-03-00,Flood Relief-Storm Water Drain,1,735,1,
2023-24,2023-24_S.txt,Zone-XIV PERUNGUDI,NP,20-21-07,230-54-01-00,Storm Water Drains,779,2000,5600,3000
2023-24,2023-24_S.txt,Zone-XIV PERUNGUDI,NP,20-21-07,230-54-03-00,Storm Water Drains-Desilting,1832,2000,33800,32000
2023-24,2023-24_S.txt,Zone-XIV PERUNGUDI,NP,20-21-07,230-70-03-00,Flood Relief-Storm Water Drain,1,1,1,
2023-24,2023-24_S.txt,Zone-XV SHOZHINGANALLUR,NQ,20-21-07,230-54-01-00,Storm Water Drains,3296,5000,5000,5000
2023-24,2023-24_S.txt,Zone-XV SHOZHINGANALLUR,NQ,20-21-07,230-54-03-00,Storm Water Drains-Desilting,2636,2000,6500,10000
2024-25,2024-25_C.txt,Zone-VI THIRU-VI-KA NAGAR,NF,20-21-07,230-54-01-00,Storm Water Drains,376,1000,1000,1000
2024-25,2024-25_C.txt,Zone-VI THIRU-VI-KA NAGAR,NF,20-21-07,230-54-03-00,Storm Water Drains-Desilting,7381,22000,22000,10000
2024-25,2024-25_C.txt,Zone-VI THIRU-VI-KA NAGAR,NF,20-21-07,230-70-03-00,Flood Relief-Storm Water Drain,1,18900,1,
2024-25,2024-25_C.txt,Zone-VII AMBATTUR,NG,20-21-07,230-54-01-00,Storm Water Drains,396,1000,1000,1000
2024-25,2024-25_C.txt,Zone-VII AMBATTUR,NG,20-21-07,230-54-03-00,Storm Water Drains-Desilting,3639,50000,30000,40000
2024-25,2024-25_C.txt,Zone-VIII ANNA NAGAR,NH,20-21-07,230-54-01-00,Storm Water Drains,43154,5000,3000,2000
2024-25,2024-25_C.txt,Zone-VIII ANNA NAGAR,NH,20-21-07,230-54-03-00,Storm Water Drains-Desilting,28000,28000,20000,
2024-25,2024-25_C.txt,Zone-VIII ANNA NAGAR,NH,20-21-07,230-70-03-00,Flood Relief-Storm Water Drain,1,1,1,
2024-25,2024-25_C.txt,Zone-IX TEYNAMPET,NJ,20-21-07,230-54-01-00,Storm Water Drains,7942,8000,12500,15000
2024-25,2024-25_C.txt,Zone-IX TEYNAMPET,NJ,20-21-07,230-54-03-00,Storm Water Drains-Desilting,117616,28000,45000,40000
2024-25,2024-25_C.txt,Zone-IX TEYNAMPET,NJ,20-21-07,230-70-03-00,Flood Relief-Storm Water Drain,1,1,1,
2024-25,2024-25_C.txt,Zone-X KODAMBAKKAM,NK,20-21-07,230-54-01-00,Storm Water Drains,4913,5000,10000,10000
2024-25,2024-25_C.txt,Zone-X KODAMBAKKAM,NK,20-21-07,230-54-03-00,Storm Water Drains-Desilting,31510,33000,33000,33000
2024-25,2024-25_N.txt,Zone-I THIRUVOTTIYUR,NA,20-21-07,230-54-01-00,Storm Water Drains,367,1000,1000,1000
2024-25,2024-25_N.txt,Zone-I THIRUVOTTIYUR,NA,20-21-07,230-54-03-00,Storm Water Drains-Desilting,1677,0,0,0
2024-25,2024-25_N.txt,Zone-II MANALI,NB,20-21-07,230-54-01-00,Storm Water Drains,803,1000,1000,1000
2024-25,2024-25_N.txt,Zone-II MANALI,NB,20-21-07,230-54-03-00,Storm Water Drains-Desilting,1425,0,3500,3500
2024-25,2024-25_N.txt,Zone-III MADHAVARAM,NC,20-21-07,230-54-01-00,Storm Water Drains,1000,6000,1000,
2024-25,2024-25_N.txt,Zone-III MADHAVARAM,NC,20-21-07,230-54-03-00,Storm Water Drains-Desilting,3102,0,15000,10000
2024-25,2024-25_N.txt,Zone-III MADHAVARAM,NC,20-21-07,230-70-03-00,Flood Relief-Storm Water Drain,1,1,1,
2024-25,2024-25_N.txt,Zone-IV TONDIARPET,ND,20-21-07,230-54-01-00,Storm Water Drains,6534,5000,7500,5000
2024-25,2024-25_N.txt,Zone-IV TONDIARPET,ND,20-21-07,230-54-03-00,Storm Water Drains-Desilting,77363,18000,20000,20000
2024-25,2024-25_N.txt,Zone-V ROYAPURAM,NE,20-21-07,230-54-01-00,Storm Water Drains,5845,10000,15000,10000
2024-25,2024-25_N.txt,Zone-V ROYAPURAM,NE,20-21-07,230-54-03-00,Storm Water Drains-Desilting,52313,19000,30000,20000
2024-25,2024-25_N.txt,Zone-V ROYAPURAM,NE,20-21-07,230-70-03-00,Flood Relief-Storm Water Drain,1,1,1,
2024-25,2024-25_S.txt,Zone-XI VALASARAVAKKAM,NL,20-21-07,230-54-01-00,Storm Water Drains,614,10000,11000,10000
2024-25,2024-25_S.txt,Zone-XI VALASARAVAKKAM,NL,20-21-07,230-54-03-00,Storm Water Drains-Desilting,39654,44000,45000,40000
2024-25,2024-25_S.txt,Zone-XII ALANDUR,NM,20-21-07,230-54-01-00,Storm Water Drains,1872,5000,6000,5000
2024-25,2024-25_S.txt,Zone-XII ALANDUR,NM,20-21-07,230-54-03-00,Storm Water Drains-Desilting,12575,33000,33000,30000
2024-25,2024-25_S.txt,Zone-XIII ADYAR,NN,20-21-07,230-54-01-00,Storm Water Drains,8915,10000,5000,5000
2024-25,2024-25_S.txt,Zone-XIII ADYAR,NN,20-21-07,230-54-03-00,Storm Water Drains-Desilting,28347,33000,33000,30000
2024-25,2024-25_S.txt,Zone-XIII ADYAR,NN,20-21-07,230-70-03-00,Flood Relief-Storm Water Drain,1,735,1,
2024-25,2024-25_S.txt,Zone-XIV PERUNGUDI,NP,20-21-07,230-54-01-00,Storm Water Drains,4183,3000,3000,3000
2024-25,2024-25_S.txt,Zone-XIV PERUNGUDI,NP,20-21-07,230-54-03-00,Storm Water Drains-Desilting,33390,32000,32000,30000
2024-25,2024-25_S.txt,Zone-XIV PERUNGUDI,NP,20-21-07,230-70-03-00,Flood Relief-Storm Water Drain,1,1,1,
2024-25,2024-25_S.txt,Zone-XV SHOZHINGANALLUR,NQ,20-21-07,230-54-01-00,Storm Water Drains,1996,5000,5000,3000
2024-25,2024-25_S.txt,Zone-XV SHOZHINGANALLUR,NQ,20-21-07,230-54-03-00,Storm Water Drains-Desilting,2241,10000,10000,10000
2025-26,2025-26_C.txt,Zone-VI THIRU-VI-KA NAGAR,NF,20-21-07,230-54-01-00,Storm Water Drains,838,1000,1000,1000
2025-26,2025-26_C.txt,Zone-VI THIRU-VI-KA NAGAR,NF,20-21-07,230-54-03-00,Storm Water Drains-Desilting,19186,10000,20000,20000
2025-26,2025-26_C.txt,Zone-VI THIRU-VI-KA NAGAR,NF,20-21-07,230-70-03-00,Flood Relief-Storm Water Drain,18444,1,1000,1
2025-26,2025-26_C.txt,Zone-VII AMBATTUR,NG,20-21-07,230-54-01-00,Storm Water Drains,618,1000,1000,1000
2025-26,2025-26_C.txt,Zone-VII AMBATTUR,NG,20-21-07,230-54-03-00,Storm Water Drains-Desilting,15809,40000,20000,20000
2025-26,2025-26_C.txt,Zone-VIII ANNA NAGAR,NH,20-21-07,230-54-01-00,Storm Water Drains,2911,2000,35000,20000
2025-26,2025-26_C.txt,Zone-VIII ANNA NAGAR,NH,20-21-07,230-54-03-00,Storm Water Drains-Desilting,16722,20000,41000,40000
2025-26,2025-26_C.txt,Zone-VIII ANNA NAGAR,NH,20-21-07,230-70-03-00,Flood Relief-Storm Water Drain,1,1,1,
2025-26,2025-26_C.txt,Zone-IX TEYNAMPET,NJ,20-21-07,230-54-01-00,Storm Water Drains,12288,15000,15000,15000
2025-26,2025-26_C.txt,Zone-IX TEYNAMPET,NJ,20-21-07,230-54-03-00,Storm Water Drains-Desilting,44805,40000,80000,60000
2025-26,2025-26_C.txt,Zone-IX TEYNAMPET,NJ,20-21-07,230-70-03-00,Flood Relief-Storm Water Drain,1,1,1,
2025-26,2025-26_C.txt,Zone-X KODAMBAKKAM,NK,20-21-07,230-54-01-00,Storm Water Drains,9882,10000,40500,30000
2025-26,2025-26_C.txt,Zone-X KODAMBAKKAM,NK,20-21-07,230-54-03-00,Storm Water Drains-Desilting,32892,33000,33000,33000
2025-26,2025-26_N.txt,Zone-I THIRUVOTTIYUR,NA,20-21-07,230-54-01-00,Storm Water Drains,761,1000,2000,2000
2025-26,2025-26_N.txt,Zone-I THIRUVOTTIYUR,NA,20-21-07,230-54-03-00,Storm Water Drains-Desilting,0,1,1,
2025-26,2025-26_N.txt,Zone-II MANALI,NB,20-21-07,230-54-01-00,Storm Water Drains,1000,6000,3000,
2025-26,2025-26_N.txt,Zone-II MANALI,NB,20-21-07,230-54-03-00,Storm Water Drains-Desilting,2839,3500,3500,3500
2025-26,2025-26_N.txt,Zone-III MADHAVARAM,NC,20-21-07,230-54-01-00,Storm Water Drains,5915,1000,5000,5000
2025-26,2025-26_N.txt,Zone-III MADHAVARAM,NC,20-21-07,230-54-03-00,Storm Water Drains-Desilting,14056,10000,8000,8000
2025-26,2025-26_N.txt,Zone-III MADHAVARAM,NC,20-21-07,230-70-03-00,Flood Relief-Storm Water Drain,1,1,1,
2025-26,2025-26_N.txt,Zone-IV TONDIARPET,ND,20-21-07,230-54-01-00,Storm Water Drains,4919,5000,37000,10000
2025-26,2025-26_N.txt,Zone-IV TONDIARPET,ND,20-21-07,230-54-03-00,Storm Water Drains-Desilting,19632,20000,35000,35000
